Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Rk,salary,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,player_id,log_salary
Aaron Gordon,29.0,DEN,PF,51.0,42.0,1447.0,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,,82,22841455.0,33658037.0,36350680.0,39043323.0,,,92850172.0,gordoaa01,16.94408764475109
Isaiah Stewart,23.0,DET,C,72.0,4.0,1434.0,14.6,0.616,0.168,0.276,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4,2.1,2.2,4.3,0.144,-1.6,2.1,0.6,0.9,,119,15000000.0,15000000.0,15000000.0,,,,30000000.0,stewais01,16.523560759066484
Brice Sensabaugh,21.0,UTA,SF,71.0,15.0,1432.0,13.4,0.612,0.621,0.122,3.2,12.6,7.9,12.0,1.5,0.5,14.5,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3,,334,2693760.0,4862237.0,,,,,7555997.0,sensabr01,14.806448545124288
Goga Bitadze,25.0,ORL,C,70.0,42.0,1430.0,19.2,0.631,0.083,0.392,12.7,25.0,18.6,14.8,1.7,6.6,15.3,14.3,2.8,3.0,5.8,0.195,-0.3,2.8,2.5,1.6,,196,8333333.0,7608696.0,,,,,15942029.0,bitadgo01,15.935774054164364
Kel'el Ware,20.0,MIA,C,64.0,36.0,1422.0,17.4,0.603,0.239,0.144,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2,1.7,2.5,4.1,0.14,-0.7,0.6,-0.1,0.7,ROY-6,277,4443360.0,4654920.0,7135992.0,,,,9098280.0,wareke01,15.306921404969147
Tari Eason,23.0,HOU,PF,57.0,16.0,1420.0,18.5,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,2.1,2.9,5.0,0.169,1.0,2.6,3.6,2.0,,245,5675766.0,,,,,,5675766.0,easonta01,15.551716090196601
Zach Edey,22.0,MEM,C,66.0,55.0,1416.0,18.2,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7,ROY-5,235,6045000.0,6332760.0,8067937.0,,,,12377760.0,edeyza01,15.61474204203103
T.J. McConnell,32.0,IND,PG,79.0,1.0,1415.0,18.4,0.547,0.079,0.123,3.5,11.6,7.6,37.0,2.8,1.3,14.2,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2,,169,10200000.0,11000000.0,11800000.0,11800000.0,,,33000000.0,mccontj01,16.1378982782545
Ryan Dunn,22.0,PHO,SF,74.0,44.0,1410.0,10.7,0.517,0.553,0.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,0.2,0.7,1.0,0.034,-2.9,-1.2,-4.1,-0.7,,337,2657760.0,2784240.0,5025553.0,,,,5442000.0,dunnry01,14.792994220724903
Sam Merrill,28.0,CLE,SG,71.0,4.0,1401.0,11.1,0.583,0.868,0.068,3.0,8.9,6.1,9.6,1.8,0.9,7.4,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8,,192,8482144.0,9160715.0,9839285.0,10517856.0,,,38000000.0,merrisa01,15.953473806000599
